mql_id,business_segment,lead_type,won_date,has_company,has_gtin,business_type,first_contact_date,landing_page_id,origin
5420aad7fec3549a85876ba1c529bd84,pet,online_medium,2018-02-26,False,False,reseller,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search
a555fb36b9368110ede0f043dfc3b9a0,car_accessories,industry,2018-05-08,False,False,reseller,2018-04-04,2f08471dfb83baef522f952438a36f6e,referral
327174d3648a2d047e8940d7d15204ca,home_appliances,online_big,2018-06-05,False,False,reseller,2018-04-03,1ceb590cd1e00c7ee95220971f82693d,organic_search
f5fee8f7da74f4887f5bcae2bafb6dd6,food_drink,online_small,2018-01-17,False,False,reseller,2018-01-14,22c29808c4f815213303f8933030604c,paid_search
ffe640179b554e295c167a2f6be528e0,home_appliances,industry,2018-07-03,False,False,manufacturer,2017-10-09,a0fbc0263cb98bdb0d72b9f9f283a172,unknown
b94fba7670eeb44dce2a0d8eb790e9f5,health_beauty,online_medium,2018-02-07,False,False,manufacturer,2018-02-06,40dec9f3d5259a3d2dbcdab2114fae47,organic_search
c3e30ed7ac989117c7e1e719b4ac128f,computers,online_medium,2018-04-16,False,False,reseller,2018-02-20,e492ee5eaf1697716985cc6f33f9cd9b,direct_traffic
b02c89251106e1fdd9d92744be9f94f2,health_beauty,offline,2018-04-17,False,False,manufacturer,2018-04-13,b76ef37428e6799c421989521c0e5077,unknown
a90a37898cc5f2718385a2fb981caaff,household_utilities,offline,2018-05-14,False,False,reseller,2018-04-27,58326e62183c14b0c03085c33b9fdc44,social
0173e8d8b1d94a355b440fb67388f532,household_utilities,online_medium,2018-04-24,False,False,manufacturer,2017-10-18,007f9098284a86ee80ddeb25d53e0af8,paid_search
4e4e70d504b4c0006c8287dedc99d0fc,construction_tools_house_garden,online_medium,2018-02-28,False,False,reseller,2018-02-04,88740e65d5d6b056e0cda098e1ea6313,social
408a9c4a79800232ac656249af3162eb,construction_tools_house_garden,online_big,2018-02-23,False,False,reseller,2018-02-21,b6885f18d203a61176418c1fb3764815,paid_search
c556184b3fe2087834850b68fa435cee,household_utilities,online_medium,2018-05-22,False,False,reseller,2018-04-15,22c29808c4f815213303f8933030604c,direct_traffic
67455a0673f5cf26deae5b270c003e83,toys,online_big,2018-06-14,False,False,reseller,2018-01-23,30077c17f2ec5010a82e37ad8925b95f,direct_traffic
ab11f58a6bf7036a656364b0ba68fb74,sports_leisure,online_medium,2018-04-10,False,False,reseller,2018-04-05,1ceb590cd1e00c7ee95220971f82693d,paid_search
bae38661a27f6228ba38c36e766ed769,stationery,industry,2018-09-10,False,False,reseller,2018-02-18,88740e65d5d6b056e0cda098e1ea6313,social
450b97a48568c3118ff397f73abe4e4a,food_drink,online_medium,2018-04-10,False,False,manufacturer,2018-04-03,2f08471dfb83baef522f952438a36f6e,referral
9878253904482726e741460a99adba86,food_supplement,industry,2018-01-26,False,False,manufacturer,2018-01-22,22c29808c4f815213303f8933030604c,organic_search
ed3d878bf23177e7075ce07578841047,home_decor,online_medium,2018-05-11,False,False,manufacturer,2018-05-09,22c29808c4f815213303f8933030604c,organic_search
119ce5d79e3c006a9e46967bff271cb2,health_beauty,online_top,2018-06-19,False,False,reseller,2018-05-24,22c29808c4f815213303f8933030604c,organic_search
1f4e960dc47c49ab5c2a495e00055f64,bed_bath_table,offline,2018-02-07,False,False,reseller,2017-12-15,40dec9f3d5259a3d2dbcdab2114fae47,organic_search
05d287893f5f083739da863da2c4b6f8,health_beauty,online_small,2018-04-16,False,False,reseller,2018-03-29,58326e62183c14b0c03085c33b9fdc44,social
0b97be8b4b408a3a0780a32e0a143a7f,watches,online_big,2018-02-08,False,False,reseller,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
2552a7b886c1710f36be92ac29b1362d,fashion_accessories,online_beginner,2018-02-16,False,False,manufacturer,2018-01-09,b76ef37428e6799c421989521c0e5077,unknown
59c0665c39a2bb9c8776d66f4e8b8f66,jewerly,online_medium,2018-02-22,False,False,manufacturer,2018-01-10,30077c17f2ec5010a82e37ad8925b95f,direct_traffic
